,TrackURI,track,acousticness,instrumentalness,energy,speechiness,liveness,loudness,danceability,tempo,valence
126,spotify:track:4SVLJYv9gJQgFhtJdW3TEX,Tum Itna Jo Muskura Rahe Ho,0.352,1.46e-05,0.331,0.0322,0.178,-12.652,0.374,171.381,0.594
127,spotify:track:6qtSFL6qFbw7EmaRIsS0IR,Woh Kaghaz Ki Kashti,0.909,0.00473,0.48,0.0399,0.0944,-12.556,0.705,108.178,0.8
128,spotify:track:4QpOqCNx9L7Vy2ThfXOYDf,Tere Aane Ki Jab Khabar Mehke,0.597,0.000192,0.242,0.0333,0.105,-18.064,0.681,90.635,0.549
129,spotify:track:5PWQsLrymwQbCVYOO70Vfd,Jhuki Jhuki Si Nazar,0.828,7.41e-05,0.262,0.0272,0.0812,-14.212,0.582,95.191,0.489
130,spotify:track:6PXISn2oRpmYoFwRT801il,Chithi Na Koi Sandesh,0.0977,0.000643,0.458,0.0382,0.189,-11.461,0.807,113.092,0.59
132,spotify:track:5NbR7c5zrOZN3Dje3JVJEN,Hoshwalon Ko Khabar Kya,0.243,0.0,0.447,0.0311,0.255,-12.014,0.527,94.051,0.536
133,spotify:track:6OBnmsS9w6mdYmEgxwc2BG,"Tum Ko Dekha To Yeh Khayal Aaya (From ""Saath Saath"")",0.907,0.612,0.272,0.0295,0.0848,-13.642,0.354,90.566,0.263
134,spotify:track:369oZK7hzwq2wHzRWzs9xh,Teri Fariyad,0.935,0.00482,0.423,0.0279,0.352,-8.344,0.503,85.061,0.371
135,spotify:track:2AeMA6k7ocfbYDZqq8NdV7,Koi Fariyaad,0.073,0.00069,0.439,0.0555,0.0828,-15.154,0.403,84.822,0.325
136,spotify:track:4SVLJYv9gJQgFhtJdW3TEX,Tum Itna Jo Muskura Rahe Ho,0.352,1.46e-05,0.331,0.0322,0.178,-12.652,0.374,171.381,0.594
137,spotify:track:6qtSFL6qFbw7EmaRIsS0IR,Woh Kaghaz Ki Kashti,0.909,0.00473,0.48,0.0399,0.0944,-12.556,0.705,108.178,0.8
138,spotify:track:4QpOqCNx9L7Vy2ThfXOYDf,Tere Aane Ki Jab Khabar Mehke,0.597,0.000192,0.242,0.0333,0.105,-18.064,0.681,90.635,0.549
139,spotify:track:5PWQsLrymwQbCVYOO70Vfd,Jhuki Jhuki Si Nazar,0.828,7.41e-05,0.262,0.0272,0.0812,-14.212,0.582,95.191,0.489
140,spotify:track:6PXISn2oRpmYoFwRT801il,Chithi Na Koi Sandesh,0.0977,0.000643,0.458,0.0382,0.189,-11.461,0.807,113.092,0.59
142,spotify:track:5NbR7c5zrOZN3Dje3JVJEN,Hoshwalon Ko Khabar Kya,0.243,0.0,0.447,0.0311,0.255,-12.014,0.527,94.051,0.536
143,spotify:track:6OBnmsS9w6mdYmEgxwc2BG,"Tum Ko Dekha To Yeh Khayal Aaya (From ""Saath Saath"")",0.907,0.612,0.272,0.0295,0.0848,-13.642,0.354,90.566,0.263
144,spotify:track:369oZK7hzwq2wHzRWzs9xh,Teri Fariyad,0.935,0.00482,0.423,0.0279,0.352,-8.344,0.503,85.061,0.371
145,spotify:track:2AeMA6k7ocfbYDZqq8NdV7,Koi Fariyaad,0.073,0.00069,0.439,0.0555,0.0828,-15.154,0.403,84.822,0.325
146,spotify:track:4SVLJYv9gJQgFhtJdW3TEX,Tum Itna Jo Muskura Rahe Ho,0.352,1.46e-05,0.331,0.0322,0.178,-12.652,0.374,171.381,0.594
147,spotify:track:6qtSFL6qFbw7EmaRIsS0IR,Woh Kaghaz Ki Kashti,0.909,0.00473,0.48,0.0399,0.0944,-12.556,0.705,108.178,0.8
148,spotify:track:4QpOqCNx9L7Vy2ThfXOYDf,Tere Aane Ki Jab Khabar Mehke,0.597,0.000192,0.242,0.0333,0.105,-18.064,0.681,90.635,0.549
149,spotify:track:5PWQsLrymwQbCVYOO70Vfd,Jhuki Jhuki Si Nazar,0.828,7.41e-05,0.262,0.0272,0.0812,-14.212,0.582,95.191,0.489
150,spotify:track:6PXISn2oRpmYoFwRT801il,Chithi Na Koi Sandesh,0.0977,0.000643,0.458,0.0382,0.189,-11.461,0.807,113.092,0.59
151,spotify:track:6D5YqPRZo1OfpD2cy5hUz1,Mujhe Tum Nazar Se Gira To Rahe Ho,0.971,9.85e-05,0.359,0.0371,0.218,-11.288,0.513,120.251,0.741
152,spotify:track:1Ot6UNRGj2aYS3xtqw1YtA,Ranjish Hi Sahi,0.894,0.113,0.528,0.043,0.114,-11.037,0.313,133.409,0.267
153,spotify:track:5SRZ2MMFN7WD626usnTOma,Gulon Mein Rang Bharey,0.458,0.000273,0.502,0.0383,0.481,-12.55,0.312,140.627,0.378
154,spotify:track:1MsBA2hZEeMnK8oTNvKQMu,Rafta Rafta Woh Meri Hasti Ka Saman,0.887,0.917,0.349,0.0343,0.539,-17.146,0.328,112.874,0.484
155,spotify:track:2em4mPw6quqqyCwS1yOM3X,Main Hosh Mein Tha,0.92,0.0131,0.342,0.0287,0.137,-11.994,0.522,84.202,0.359
156,spotify:track:6f188O4U3MHPStb9IJ7bqm,Mohabbat Karne Wale (Live),0.963,0.802,0.492,0.0497,0.325,-11.875,0.44,127.366,0.553
157,spotify:track:2CWKnKg2zzXI6wfsH2dTDE,"Rafta Rafta Woh Meri Hasti Ka (From ""Zeenat"")",0.86,0.0,0.661,0.031,0.0868,-7.783,0.4,103.674,0.682
158,spotify:track:0jQySCRqYWtPEj0IEzrIpz,Zindagi Mein To Sabhi - Live,0.901,0.0138,0.526,0.08,0.74,-9.629,0.351,142.475,0.354
159,spotify:track:69GrvktEn2ezemVh4OYrvq,To Ne Dikha Hai Kabhi,0.574,0.000269,0.547,0.0268,0.0384,-8.561,0.578,128.4,0.529
160,spotify:track:4UDsOiaMP4pLawOzlmeGKk,Duniya Kisi Ke Pyar Mein,0.959,0.542,0.328,0.0332,0.666,-14.536,0.283,92.772,0.372
163,spotify:track:3Wb8gdwqyagTVSrFtSUCFe,Woh Jo Ham Men Tum Men Qarar Tha,0.956,0.00818,0.347,0.0363,0.36,-13.936,0.38,112.394,0.382
168,spotify:track:6WvXxG729BX9yp1KaDFmbv,Diwana Banana Hai To,0.995,0.591,0.108,0.0478,0.196,-11.888,0.341,73.871,0.514
171,spotify:track:34VMY5oNAOWXFnC0pfwwhc,Chupke Chupke Raat Din Aansoon Bahanayaad Hai,0.958,0.453,0.288,0.0351,0.0817,-16.153,0.57,131.731,0.72
172,spotify:track:0fop0xkp8P9b7JTJSDdBB4,Teri Yaad Yaad Yaad,0.176,0.0,0.754,0.0598,0.234,-7.258,0.537,90.042,0.599
173,spotify:track:1kq9D4WgmSzmZzNGMAvI4Q,Hum Tere Shahar Me Aaye Hai,0.774,0.000599,0.558,0.0319,0.176,-9.808,0.576,109.107,0.718
174,spotify:track:5hZmZaExf8sG6wvoWpqs8m,Humko Kisike Gham Ne Maara,0.919,0.0156,0.48,0.0324,0.768,-11.934,0.391,100.761,0.771
175,spotify:track:1M3NqMGpz82MZymh0bJSIx,Hangama Hai Kiyon Barbad,0.555,3.22e-06,0.755,0.0499,0.411,-6.312,0.36,112.812,0.546
176,spotify:track:3nPez09I43hLdYiNPB2XUO,Khawab Ban Ke Bikharti Jati Hai,0.2,0.000119,0.637,0.0312,0.0806,-9.817,0.543,79.087,0.827
