Singers,Genre,Artist,TrackURI,Preview,track,acousticness,instrumentalness,energy,speechiness,liveness,loudness,danceability,tempo,valence
Chris Brown,Blues,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,5zYOznhnMrvzuXdtK6vByo,https://p.scdn.co/mp3-preview/68d5a8b9aea57df03f45a23f01328a4717c50b78?cid=b82fb22d072d4120850c99225ff01644,Best Love Song (feat. Chris Brown),0.0485,0,0.706,0.0612,0.247,-6.625,0.477,79.881,0.644
112,Blues,spotify:artist:7urq0VfqxEYEEiZUkebXT4,3kVIFDE3G89I2RPVkiRaRj,https://p.scdn.co/mp3-preview/2cc538f8d54cff26d54524bd24d17c5513fd9560?cid=b82fb22d072d4120850c99225ff01644,Cupid,0.373,0,0.38,0.112,0.0371,-11.219,0.685,175.562,0.87
Beyoncé,Blues,spotify:artist:6vWDO969PvNqNYHIOW5v0m,0yGlYMCTNE1aKRd5YAXEdg,https://p.scdn.co/mp3-preview/c3326c8de81e289ed4f119ce31d3084ab9d8d137?cid=b82fb22d072d4120850c99225ff01644,Poison,0.171,0,0.674,0.266,0.096,-5.136,0.771,125.01,0.686
Omarion,Blues,spotify:artist:0f5nVCcR06GX8Qikz0COtT,25u7tVNFhpPA450EFQBwML,https://p.scdn.co/mp3-preview/2ca6f6f20c3d5d965cf8dd007b694f9c8c42a49a?cid=b82fb22d072d4120850c99225ff01644,Ice Box,0.184,0,0.728,0.128,0.139,-5.39,0.771,131.109,0.809
Victoria Monét,Blues,spotify:artist:63XBtGSEZINSyXylZxEUbv,2YMXS10cLLTiJ8BLn9nasA,https://p.scdn.co/mp3-preview/acb323b3f161499d022c0d9b6ba0e6bd00f171c2?cid=b82fb22d072d4120850c99225ff01644,Dive,0.283,0.133,0.579,0.0338,0.152,-6.289,0.742,130.033,0.541
En Vogue,Blues,spotify:artist:5fikk4h5qbEebqK2Fc6e48,0YneC4nNQEsKCqAGCv1tJK,https://p.scdn.co/mp3-preview/5d8d1f7fe6368ceedc942ec7787cfc157a772a11?cid=b82fb22d072d4120850c99225ff01644,My Lovin' (You're Never Gonna Get It),0.0318,9.31E-06,0.839,0.0613,0.111,-5.519,0.767,98.055,0.461
Jagged Edge,Blues,spotify:artist:7Aq8lpLMSt1Zxu56pe9bmp,06ZDLodo1UDVavc3MXREZ3,https://p.scdn.co/mp3-preview/5c61751fd8fd6b649ba3aceea1d9fe87ba5e577e?cid=b82fb22d072d4120850c99225ff01644,Walked Outta Heaven,0.573,0,0.616,0.225,0.0535,-6.123,0.67,120.129,0.523
Monica,Blues,spotify:artist:6nzxy2wXs6tLgzEtqOkEi2,0JCAezTC5IlK1a9o0YBEsD,https://p.scdn.co/mp3-preview/9b2778d76c956ade5e409a47bf77f101d41da15c?cid=b82fb22d072d4120850c99225ff01644,Don't Take It Personal (Just One of Dem Days),0.00864,5.14E-05,0.355,0.0603,0.0579,-12.741,0.731,175.72,0.529
Aaliyah,Blues,spotify:artist:0urTpYCsixqZwgNTkPJOJ4,2BbQmjiUDHPBghItmFXl9d,https://p.scdn.co/mp3-preview/0d17b6ff67f306acdb5e0faedffef2ed2305ba48?cid=b82fb22d072d4120850c99225ff01644,I'm So into You,0.314,0.00303,0.536,0.03,0.344,-9.113,0.697,99.972,0.734
Buddy Guy,Blues,spotify:artist:2gCsNOpiBaMNh20jQ5prf0,spotify:track:2FtX5tOFUVOyjcGQiuGR8f,https://p.scdn.co/mp3-preview/8c5e7cda7fb18e62f528b200d5d1aa8f1f693840?cid=6f8bb3e64c2944d586037b9907043601,"Damn Right, I've Got the Blues",0.0488,0.065,0.921,0.0758,0.314,-5.64,0.353,145.589,0.526
Michael Jackson,Blues,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,7oOOI85fVQvVnK5ynNMdW7,https://p.scdn.co/mp3-preview/6d950aa4c01473bee46de9c601f7c9c06d7576b3?cid=b82fb22d072d4120850c99225ff01644,Rock with You - Single Version,0.179,9.91E-05,0.535,0.0353,0.158,-12.521,0.808,114.031,0.848
Ty Dolla $ign,Blues,spotify:artist:7c0XG5cIJTrrAgEC3ULPiq,1u0CD4fcBUB1xrG9fNgejh,https://p.scdn.co/mp3-preview/3bd658aae3afdbfd4c7ff3989809d43b9676dcf2?cid=b82fb22d072d4120850c99225ff01644,Clout (feat. 21 Savage),0.136,5.42E-05,0.728,0.205,0.337,-6.939,0.88,160.976,0.715
Musiq Soulchild,Blues,spotify:artist:3UVRliakQfa1pMWIsNuiZ8,5tuCwGlogBgunzUDsTpO3J,https://p.scdn.co/mp3-preview/0c00e37fc022c8c2a29b0b7aec78f3bad554f42b?cid=b82fb22d072d4120850c99225ff01644,ifuleave (feat. Mary J. Blige),0.208,0,0.752,0.232,0.164,-3.244,0.467,122.775,0.728
